Movie ID,Movie Name,IMDB Rating,Biography,Drama,Thriller,Comedy,Crime,Mystery,History,Label
1,58,The Imitation Game,8,1,1,1,0,0,0,0
2,8,Ex Machina,7.7,0,1,0,0,0,1,0
3,46,A Beautiful Mind,8.2,1,1,0,0,0,0,0
4,62,Good Will Hunting,8.3,0,1,0,0,0,0,0
5,97,Forrest Gump,8.8,0,1,0,0,0,0,0
6,98,21,6.8,0,1,0,0,1,0,1
7,31,Gifted,7.6,0,1,0,0,0,0,0
8,3,Travelling Salesman,5.9,0,1,0,0,0,1,0
9,51,Avatar,7.9,0,0,0,0,0,0,0
10,47,The Karate Kid,7.2,0,1,0,0,0,0,0
11,50,A Brilliant Young Mind,7.2,0,1,0,0,0,0,0
12,49,A Time To Kill,7.4,0,1,1,0,1,0,0
13,30,Interstellar,8.6,0,1,0,0,0,0,0
14,94,The Wolf of Wall Street,8.2,1,0,0,1,1,0,0
15,6,Black Panther,7.4,0,0,0,0,0,0,0
16,73,Inception,8.8,0,0,0,0,0,0,0
17,44,The Wind Rises,7.8,1,1,0,0,0,0,0
18,65,Spirited Away,8.6,0,0,0,0,0,0,0
19,48,Finding Forrester,7.3,0,1,0,0,0,0,0
20,27,The Fountain,7.3,0,0,0,0,0,0,0
21,57,The DaVinci Code,6.6,0,0,1,0,0,1,0
22,57,Stand and Deliver,7.3,0,1,0,0,0,0,0
23,14,The Terminator,8,0,0,0,0,0,0,0
24,69,21 Jump Street,7.2,0,0,0,1,1,0,0
25,98,The Avengers,8.1,0,0,0,0,0,0,0
26,17,Thor: Ragnarok,7.9,0,0,0,1,0,0,0
27,12,Spirit: Stallion of the Cimarron,7.1,0,0,0,0,0,0,0
28,1,Hacksaw Ridge,8.2,1,1,0,0,0,0,1
29,86,12 Years a Slave,8.1,1,1,0,0,0,0,1
30,46,Queen of Katwe,7.4,1,1,0,0,0,0,0
