date,count
3/20/2014 12:38,3
3/23/2014 9:20,6
3/24/2014 12:59,1
3/27/2014 11:11,1
3/29/2014 12:52,1
3/30/2014 10:29,1
3/30/2014 18:45,1
3/31/2014 9:43,2
4/1/2014 8:12,1
4/2/2014 5:54,1
4/2/2014 7:49,2
4/2/2014 8:53,1
4/2/2014 9:57,1
4/3/2014 8:24,1
4/3/2014 10:07,1
4/3/2014 13:59,4
4/3/2014 14:52,1
4/3/2014 15:36,4
4/3/2014 18:54,5
4/3/2014 20:22,2
4/4/2014 2:50,1
4/4/2014 12:46,1
4/4/2014 17:03,1
4/5/2014 17:33,1
4/5/2014 18:54,1
4/5/2014 19:45,1
4/6/2014 0:30,1
4/6/2014 11:23,4
4/6/2014 17:45,6
4/7/2014 10:15,2
4/7/2014 11:29,1
4/8/2014 7:03,3
4/8/2014 15:42,1
4/11/2014 21:24,1
4/12/2014 12:46,1
4/20/2014 7:21,6
4/21/2014 16:00,1
4/22/2014 8:56,1
4/22/2014 10:07,2
4/23/2014 4:57,3
4/23/2014 5:01,2
4/23/2014 8:08,1
4/23/2014 9:04,1
4/23/2014 10:21,2
4/24/2014 15:37,1
4/26/2014 7:09,1
4/26/2014 8:32,2
4/26/2014 10:08,7
4/26/2014 11:16,10
4/26/2014 13:29,7
4/26/2014 14:06,10
4/27/2014 9:27,1
4/27/2014 11:21,2
4/27/2014 12:35,4
4/28/2014 7:17,3
4/28/2014 8:45,2
4/28/2014 9:09,2
4/28/2014 13:27,4
4/28/2014 16:50,1
4/28/2014 17:03,6
4/28/2014 21:15,1
4/29/2014 6:17,4
4/29/2014 8:18,4
4/29/2014 9:12,8
4/29/2014 10:04,12
4/29/2014 11:51,3
4/29/2014 12:08,2
4/29/2014 13:57,1
4/29/2014 15:14,8
4/29/2014 17:33,19
4/29/2014 18:52,1
4/30/2014 4:45,3
4/30/2014 5:46,15
4/30/2014 6:07,5
4/30/2014 7:11,15
4/30/2014 8:47,5
4/30/2014 9:00,6
4/30/2014 10:28,4
4/30/2014 11:01,14
4/30/2014 12:02,2
4/30/2014 14:38,1
5/1/2014 9:55,1
5/1/2014 10:07,4
5/1/2014 11:23,1
