date,count
"2014-03-20 12:38:55","3"
"2014-03-23 09:20:52","6"
"2014-03-24 12:59:07","1"
"2014-03-27 11:11:52","1"
"2014-03-29 12:52:19","1"
"2014-03-30 18:45:49","2"
"2014-03-31 09:43:56","2"
"2014-04-01 08:12:09","1"
"2014-04-02 09:57:41","5"
"2014-04-03 18:54:08","18"
"2014-04-04 02:50:03","3"
"2014-04-05 18:54:46","3"
"2014-04-06 17:45:34","11"
"2014-04-07 10:15:56","3"
"2014-04-08 07:03:32","4"
"2014-04-11 21:24:17","1"
"2014-04-12 12:46:58","1"
"2014-04-20 07:21:18","6"
"2014-04-21 16:00:00","1"
"2014-04-22 08:56:32","3"
"2014-04-23 04:57:10","9"
"2014-04-24 15:37:54","1"
"2014-04-26 07:09:51","37"
"2014-04-27 09:27:49","7"
"2014-04-28 07:17:10","19"
"2014-04-29 06:17:12","62"
"2014-04-30 06:07:19","70"
"2014-05-01 09:55:59","6"
"2014-05-02 04:21:36","17"
"2014-05-03 06:19:29","9"
"2014-05-04 07:59:33","5"
"2014-05-05 05:45:02","25"
"2014-05-06 08:47:18","30"
"2014-05-07 04:12:39","8"
"2014-05-08 13:56:42","19"
"2014-05-09 01:35:55","2"
"2014-05-10 10:33:00","5"
"2014-05-11 12:55:35","2"
"2014-05-12 06:49:12","5"
"2014-05-13 09:36:22","1"
"2014-05-14 09:27:04","12"
"2014-05-15 00:00:03","13"
"2014-05-16 00:00:04","1"
"2014-05-17 00:00:04","1"
"2014-05-18 00:00:03","5"
"2014-05-19 00:00:04","5"
"2014-05-20 00:00:03","3"
"2014-05-21 00:00:02","13"
"2014-05-22 00:00:27","7"
"2014-05-23 00:00:03","4"
"2014-05-24 00:00:07","2"
"2014-05-25 00:00:04","5"
"2014-05-26 00:00:03","6"
"2014-05-27 00:00:04","3"
"2014-05-28 00:00:04","4"
"2014-05-29 00:00:05","6"
"2014-05-30 00:00:03","6"
"2014-05-31 00:00:06","1"
"2014-06-01 00:00:02","8"
"2014-06-02 00:00:05","4"
"2014-06-03 00:00:31","1"
"2014-06-04 00:00:04","1"
"2014-06-05 00:00:03","3"
"2014-06-06 00:00:03","2"
"2014-06-07 00:00:03","4"
"2014-06-08 00:00:04","1"
"2014-06-09 00:00:03","1"
"2014-06-10 00:00:03","2"
"2014-06-11 00:00:03","1"
"2014-06-12 00:00:05","5"
"2014-06-13 00:00:06","3"
"2014-06-14 00:00:06","1"
"2014-06-15 00:00:04","2"
"2014-06-16 00:00:05","1"
"2014-06-17 00:00:03","3"
"2014-06-18 00:00:04","10"
"2014-06-19 00:00:24","1"
"2014-06-20 00:00:02","3"
"2014-06-21 00:00:06","1"
"2014-06-22 15:00:04","8"
"2014-06-23 00:00:04","4"
"2014-06-24 12:26:13","6"
"2014-06-25 15:50:02","4"
"2014-06-26 00:00:04","19"
"2014-06-27 00:00:09","1"
"2014-06-28 00:00:06","1"
"2014-06-29 00:00:04","1"
"2014-06-30 00:00:04","1"
"2014-07-01 00:00:03","1"
"2014-07-02 07:19:26","14"
"2014-07-03 00:00:08","15"
"2014-07-04 17:32:34","2"
"2014-07-05 00:00:08","4"
"2014-07-06 00:00:06","6"
"2014-07-07 08:32:12","3"
"2014-07-08 00:00:06","12"
"2014-07-09 00:00:11","12"
"2014-07-10 09:16:42","1"
"2014-07-12 05:35:27","1"
"2014-07-15 13:53:59","1"
"2014-07-17 18:03:50","1"
"2014-07-18 10:23:31","2"
"2014-07-20 17:13:32","4"
"2014-07-21 09:59:00","1"
"2014-07-25 17:04:45","2"
"2014-07-27 03:08:06","17"
"2014-07-30 07:39:55","6"
"2014-08-02 09:40:02","1"
"2014-08-03 16:04:33","1"
"2014-08-04 03:22:43","2"
"2014-08-07 12:33:06","2"
